map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
Ascent,TL,1,4 (1),1 (0),6 (4),12 (5),482512
Icebox,TH,2,2 (2),0 (0),3 (3),10 (8),482512
Icebox,TL,0,3 (0),1 (0),6 (0),5 (2),482512
Lotus,TH,5,7 (5),3 (2),8 (6),36 (26),482512
Lotus,TL,1,10 (1),4 (0),20 (5),20 (9),482512
Split,FNC,2,2 (2),0 (0),4 (3),11 (8),482513
Split,TH,0,4 (0),0 (0),5 (1),8 (3),482513
Icebox,FNC,1,3 (1),1 (1),2 (1),16 (10),482513
Icebox,TH,1,3 (1),1 (0),4 (2),14 (6),482513
Fracture,FNC,0,4 (0),1 (0),6 (3),15 (11),482513
Fracture,TH,2,2 (2),2 (1),6 (4),16 (5),482513
Lotus,FNC,3,9 (3),2 (1),12 (7),42 (29),482513
Lotus,TH,3,9 (3),3 (1),15 (7),38 (14),482513
