map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id
All Maps,100T,2,6 (3),3 (3),12 (6),27 (9),530909
Bind,SEN,1,4 (1),0 (0),5 (2),12 (5),530910
Bind,G2,1,3 (1),1 (1),3 (3),14 (8),530910
Sunset,SEN,1,3 (1),2 (1),7 (4),10 (3),530910
Sunset,G2,1,3 (1),2 (0),4 (4),13 (8),530910
Corrode,SEN,2,7 (2),2 (1),12 (6),22 (8),530910
Corrode,G2,2,6 (2),3 (1),7 (7),27 (16),530910
Haven,NRG,2,3 (2),0 (0),2 (1),10 (10),530911
Haven,C9,0,2 (0),1 (0),7 (2),5 (0),530911
Corrode,NRG,0,3 (1),2 (0),4 (3),14 (9),530911
Corrode,C9,2,2 (2),2 (0),9 (4),10 (4),530911
All Maps,NRG,0,4 (0),0 (0),10 (5),9 (5),530911
All Maps,C9,2,2 (2),0 (0),8 (5),13 (6),530911
All Maps,ALP,1,2 (1),0 (0),6 (5),9 (7),536985
All Maps,OME,1,3 (2),1 (0),8 (1),5 (1),536985
Lotus,SEN,1,3 (1),2 (1),4 (1),8 (1),530912
Lotus,NRG,1,3 (1),0 (0),2 (2),12 (10),530912
Icebox,SEN,0,3 (0),2 (0),4 (2),15 (9),530912
Icebox,NRG,2,2 (2),2 (0),9 (5),11 (6),530912
Sunset,SEN,2,2 (2),1 (1),7 (4),13 (6),530912
Sunset,NRG,0,4 (0),1 (0),7 (3),11 (7),530912
Corrode,SEN,1,3 (1),0 (0),8 (2),10 (5),530912
Corrode,NRG,1,4 (1),0 (0),5 (3),12 (9),530912
Haven,SEN,4,11 (4),5 (2),23 (9),46 (21),530912
Haven,NRG,4,13 (4),3 (0),23 (13),46 (32),530912
Bind,G2,1,3 (1),0 (0),6 (3),15 (9),530913
Bind,NRG,1,4 (1),0 (0),5 (2),15 (8),530913
Lotus,G2,2,2 (2),1 (0),5 (4),13 (7),530913
Lotus,NRG,0,4 (0),2 (0),2 (1),13 (7),530913
Ascent,G2,0,4 (0),1 (1),2 (1),16 (11),530913
Ascent,NRG,2,2 (2),3 (0),8 (4),10 (4),530913
Haven,G2,3,9 (3),2 (1),13 (8),44 (27),530913
Haven,NRG,3,10 (3),5 (0),15 (7),38 (19),530913
