agent_name,total_utilization,map_utilizations,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture,Icebox,Ascent,Corrode,Sunset,tournament_name
Astra,1.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 8.0, 'Abyss': 17.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Phoenix,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Tejo,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Chamber,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Vyse,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Waylay,0.0,"{'Lotus': 0.0, 'Icebox': 0.0, 'Ascent': 0.0, 'Bind': 0.0, 'Sunset': 0.0, 'Haven': 0.0, 'Split': 0.0, 'Abyss': 0.0}",,,,,,,,,,,,Champions Tour 2024 Americas Stage 2_csvs
Viper,64.0,"{'Lotus': 88.0, 'Ascent': 13.0, 'Sunset': 19.0, 'Bind': 86.0, 'Icebox': 100.0, 'Split': 80.0, 'Breeze': 100.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Omen,60.0,"{'Lotus': 88.0, 'Ascent': 100.0, 'Sunset': 88.0, 'Bind': 14.0, 'Icebox': 8.0, 'Split': 80.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Raze,58.0,"{'Lotus': 100.0, 'Ascent': 0.0, 'Sunset': 75.0, 'Bind': 100.0, 'Icebox': 8.0, 'Split': 100.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Sova,52.0,"{'Lotus': 0.0, 'Ascent': 88.0, 'Sunset': 75.0, 'Bind': 29.0, 'Icebox': 83.0, 'Split': 0.0, 'Breeze': 100.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Jett,47.0,"{'Lotus': 6.0, 'Ascent': 100.0, 'Sunset': 0.0, 'Bind': 21.0, 'Icebox': 92.0, 'Split': 40.0, 'Breeze': 100.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Cypher,43.0,"{'Lotus': 0.0, 'Ascent': 44.0, 'Sunset': 81.0, 'Bind': 50.0, 'Icebox': 17.0, 'Split': 50.0, 'Breeze': 75.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Killjoy,36.0,"{'Lotus': 88.0, 'Ascent': 44.0, 'Sunset': 6.0, 'Bind': 0.0, 'Icebox': 92.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Skye,22.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 79.0, 'Icebox': 0.0, 'Split': 90.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Kayo,21.0,"{'Lotus': 0.0, 'Ascent': 50.0, 'Sunset': 13.0, 'Bind': 14.0, 'Icebox': 17.0, 'Split': 0.0, 'Breeze': 63.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Breach,20.0,"{'Lotus': 13.0, 'Ascent': 19.0, 'Sunset': 63.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 30.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Fade,18.0,"{'Lotus': 75.0, 'Ascent': 13.0, 'Sunset': 19.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Brimstone,13.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 86.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Harbor,10.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 13.0, 'Bind': 0.0, 'Icebox': 58.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Yoru,9.0,"{'Lotus': 0.0, 'Ascent': 13.0, 'Sunset': 0.0, 'Bind': 14.0, 'Icebox': 0.0, 'Split': 10.0, 'Breeze': 38.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
