map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
Haven,M8,0,5 (1),0 (0),2 (1),19 (12),459831,VCT 2025 EMEA Stage 1_csvs
All Maps,TL,0,3 (0),4 (1),3 (1),9 (4),459831,VCT 2025 EMEA Stage 1_csvs
All Maps,M8,2,2 (2),0 (0),5 (5),12 (6),459831,VCT 2025 EMEA Stage 1_csvs
Fracture,TL,1,3 (2),2 (1),2 (2),13 (8),459832,VCT 2025 EMEA Stage 1_csvs
Fracture,BBL,1,3 (1),4 (0),1 (0),12 (6),459832,VCT 2025 EMEA Stage 1_csvs
Haven,TL,0,4 (0),0 (0),6 (1),7 (3),459832,VCT 2025 EMEA Stage 1_csvs
Haven,BBL,2,2 (2),2 (2),4 (3),9 (6),459832,VCT 2025 EMEA Stage 1_csvs
All Maps,TL,1,3 (1),1 (0),2 (2),11 (10),459832,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,1,3 (1),3 (0),3 (1),8 (2),459832,VCT 2025 EMEA Stage 1_csvs
Lotus,APK,1,3 (2),1 (0),5 (2),14 (9),459833,VCT 2025 EMEA Stage 1_csvs
Lotus,NAVI,1,3 (1),2 (0),4 (0),14 (9),459833,VCT 2025 EMEA Stage 1_csvs
Haven,APK,1,2 (1),1 (0),9 (5),12 (5),459833,VCT 2025 EMEA Stage 1_csvs
Haven,NAVI,1,3 (1),2 (0),4 (2),15 (10),459833,VCT 2025 EMEA Stage 1_csvs
All Maps,APK,1,5 (2),0 (0),5 (2),9 (2),459833,VCT 2025 EMEA Stage 1_csvs
All Maps,NAVI,1,3 (1),0 (0),2 (2),14 (10),459833,VCT 2025 EMEA Stage 1_csvs
Icebox,FUT,1,3 (2),2 (1),5 (3),13 (4),459834,VCT 2025 EMEA Stage 1_csvs
Icebox,M8,1,4 (1),1 (0),1 (0),17 (12),459834,VCT 2025 EMEA Stage 1_csvs
Fracture,FUT,1,4 (2),1 (0),5 (2),24 (14),459834,VCT 2025 EMEA Stage 1_csvs
Fracture,M8,1,3 (1),3 (0),5 (3),23 (12),459834,VCT 2025 EMEA Stage 1_csvs
All Maps,FUT,2,2 (2),0 (0),6 (4),9 (7),459834,VCT 2025 EMEA Stage 1_csvs
All Maps,M8,0,4 (0),1 (0),3 (0),9 (4),459834,VCT 2025 EMEA Stage 1_csvs
Haven,TH,2,2 (2),0 (0),4 (3),10 (8),459835,VCT 2025 EMEA Stage 1_csvs
Haven,GX,0,3 (0),3 (0),4 (0),6 (3),459835,VCT 2025 EMEA Stage 1_csvs
Split,TH,1,3 (1),1 (0),5 (2),15 (8),459835,VCT 2025 EMEA Stage 1_csvs
Split,GX,1,3 (1),2 (1),7 (4),12 (7),459835,VCT 2025 EMEA Stage 1_csvs
All Maps,TH,1,2 (1),3 (1),4 (3),12 (8),459835,VCT 2025 EMEA Stage 1_csvs
All Maps,GX,1,3 (1),1 (1),7 (2),10 (4),459835,VCT 2025 EMEA Stage 1_csvs
Split,VIT,1,3 (1),2 (1),2 (1),27 (15),459836,VCT 2025 EMEA Stage 1_csvs
Split,FNC,1,4 (1),0 (0),6 (4),24 (11),459836,VCT 2025 EMEA Stage 1_csvs
Lotus,VIT,2,3 (2),1 (0),7 (3),8 (1),459836,VCT 2025 EMEA Stage 1_csvs
Lotus,FNC,0,4 (0),0 (0),2 (1),13 (12),459836,VCT 2025 EMEA Stage 1_csvs
All Maps,VIT,1,3 (1),2 (0),6 (3),12 (6),459836,VCT 2025 EMEA Stage 1_csvs
All Maps,FNC,1,3 (1),1 (1),3 (1),16 (10),459836,VCT 2025 EMEA Stage 1_csvs
Lotus,MKOI,1,4 (1),1 (0),7 (1),3 (0),459837,VCT 2025 EMEA Stage 1_csvs
Lotus,KC,1,3 (1),0 (0),1 (1),11 (11),459837,VCT 2025 EMEA Stage 1_csvs
Icebox,MKOI,2,2 (2),0 (0),5 (2),19 (8),459837,VCT 2025 EMEA Stage 1_csvs
Icebox,KC,0,4 (0),1 (0),4 (2),17 (12),459837,VCT 2025 EMEA Stage 1_csvs
All Maps,MKOI,3,6 (3),1 (0),12 (3),22 (8),459837,VCT 2025 EMEA Stage 1_csvs
All Maps,KC,1,7 (1),1 (0),5 (3),28 (23),459837,VCT 2025 EMEA Stage 1_csvs
Pearl,MKOI,1,3 (1),1 (0),8 (2),7 (3),459839,VCT 2025 EMEA Stage 1_csvs
Pearl,BBL,1,2 (1),0 (0),6 (3),11 (9),459839,VCT 2025 EMEA Stage 1_csvs
Icebox,MKOI,0,4 (0),2 (1),8 (5),8 (3),459839,VCT 2025 EMEA Stage 1_csvs
Icebox,BBL,2,2 (2),1 (1),4 (3),15 (7),459839,VCT 2025 EMEA Stage 1_csvs
All Maps,MKOI,1,7 (1),3 (1),16 (7),15 (6),459839,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,3,4 (3),1 (1),10 (6),26 (16),459839,VCT 2025 EMEA Stage 1_csvs
Fracture,NAVI,1,3 (1),0 (0),7 (2),12 (6),459840,VCT 2025 EMEA Stage 1_csvs
Fracture,GX,1,3 (1),1 (0),5 (5),13 (7),459840,VCT 2025 EMEA Stage 1_csvs
Pearl,NAVI,2,2 (2),2 (0),4 (3),12 (8),459840,VCT 2025 EMEA Stage 1_csvs
Pearl,GX,0,3 (0),3 (1),3 (2),11 (4),459840,VCT 2025 EMEA Stage 1_csvs
All Maps,NAVI,2,2 (2),0 (0),2 (2),9 (9),459840,VCT 2025 EMEA Stage 1_csvs
All Maps,GX,0,3 (0),1 (0),4 (0),5 (0),459840,VCT 2025 EMEA Stage 1_csvs
Lotus,TL,2,2 (2),0 (0),3 (3),9 (8),459841,VCT 2025 EMEA Stage 1_csvs
Lotus,FUT,0,4 (0),2 (0),2 (0),6 (1),459841,VCT 2025 EMEA Stage 1_csvs
Split,TL,1,3 (1),0 (0),5 (2),14 (10),459841,VCT 2025 EMEA Stage 1_csvs
Split,FUT,1,3 (1),2 (0),2 (2),15 (6),459841,VCT 2025 EMEA Stage 1_csvs
All Maps,TL,3,5 (3),0 (0),8 (5),23 (18),459841,VCT 2025 EMEA Stage 1_csvs
All Maps,FUT,1,7 (1),4 (0),4 (2),21 (7),459841,VCT 2025 EMEA Stage 1_csvs
Haven,VIT,1,3 (1),1 (0),5 (3),14 (6),459842,VCT 2025 EMEA Stage 1_csvs
Haven,TH,1,3 (1),1 (1),6 (4),13 (7),459842,VCT 2025 EMEA Stage 1_csvs
Icebox,VIT,1,2 (1),1 (0),10 (3),6 (2),459842,VCT 2025 EMEA Stage 1_csvs
Icebox,TH,1,3 (1),0 (0),3 (2),13 (10),459842,VCT 2025 EMEA Stage 1_csvs
All Maps,VIT,2,5 (2),2 (0),15 (6),20 (8),459842,VCT 2025 EMEA Stage 1_csvs
All Maps,TH,2,6 (2),1 (1),9 (6),26 (17),459842,VCT 2025 EMEA Stage 1_csvs
Lotus,APK,0,4 (0),1 (0),4 (3),9 (2),459843,VCT 2025 EMEA Stage 1_csvs
Lotus,FNC,2,2 (2),0 (0),3 (3),13 (8),459843,VCT 2025 EMEA Stage 1_csvs
Split,APK,1,3 (1),2 (0),5 (2),20 (11),459843,VCT 2025 EMEA Stage 1_csvs
Split,FNC,1,3 (2),3 (1),4 (1),20 (12),459843,VCT 2025 EMEA Stage 1_csvs
All Maps,APK,1,7 (1),3 (0),9 (5),29 (13),459843,VCT 2025 EMEA Stage 1_csvs
All Maps,FNC,3,5 (4),3 (1),7 (4),33 (20),459843,VCT 2025 EMEA Stage 1_csvs
Haven,KC,0,4 (0),1 (0),4 (3),17 (11),459844,VCT 2025 EMEA Stage 1_csvs
Haven,M8,2,2 (2),1 (0),10 (3),13 (7),459844,VCT 2025 EMEA Stage 1_csvs
Pearl,KC,2,2 (2),0 (0),3 (3),10 (8),459844,VCT 2025 EMEA Stage 1_csvs
Pearl,M8,0,3 (0),3 (1),4 (1),5 (0),459844,VCT 2025 EMEA Stage 1_csvs
All Maps,KC,2,6 (2),1 (0),7 (6),27 (19),459844,VCT 2025 EMEA Stage 1_csvs
All Maps,M8,2,5 (2),4 (1),14 (4),18 (7),459844,VCT 2025 EMEA Stage 1_csvs
Ascent,VIT,1,3 (1),1 (1),3 (2),11 (9),459845,VCT 2025 EMEA Stage 1_csvs
Ascent,APK,1,3 (1),1 (0),7 (4),7 (0),459845,VCT 2025 EMEA Stage 1_csvs
Lotus,VIT,1,3 (1),1 (0),7 (3),12 (9),459845,VCT 2025 EMEA Stage 1_csvs
Lotus,APK,1,3 (1),2 (0),6 (3),12 (6),459845,VCT 2025 EMEA Stage 1_csvs
All Maps,VIT,2,6 (2),2 (1),10 (5),23 (18),459845,VCT 2025 EMEA Stage 1_csvs
All Maps,APK,2,6 (2),3 (0),13 (7),19 (6),459845,VCT 2025 EMEA Stage 1_csvs
Lotus,TL,2,2 (2),0 (0),7 (6),9 (5),459846,VCT 2025 EMEA Stage 1_csvs
Lotus,MKOI,0,5 (0),0 (0),6 (3),7 (2),459846,VCT 2025 EMEA Stage 1_csvs
Split,TL,2,4 (4),1 (0),6 (3),11 (6),459846,VCT 2025 EMEA Stage 1_csvs
Split,MKOI,0,5 (0),2 (0),1 (0),14 (9),459846,VCT 2025 EMEA Stage 1_csvs
All Maps,TL,4,6 (6),1 (0),13 (9),20 (11),459846,VCT 2025 EMEA Stage 1_csvs
All Maps,MKOI,0,10 (0),2 (0),7 (3),21 (11),459846,VCT 2025 EMEA Stage 1_csvs
Lotus,M8,0,4 (0),0 (0),3 (2),19 (10),459847,VCT 2025 EMEA Stage 1_csvs
Lotus,BBL,2,2 (2),0 (0),9 (5),15 (7),459847,VCT 2025 EMEA Stage 1_csvs
Haven,M8,0,3 (0),3 (1),3 (0),6 (1),459847,VCT 2025 EMEA Stage 1_csvs
Haven,BBL,2,2 (2),0 (0),3 (2),10 (9),459847,VCT 2025 EMEA Stage 1_csvs
All Maps,M8,0,7 (0),3 (1),6 (2),25 (11),459847,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,4,4 (4),0 (0),12 (7),25 (16),459847,VCT 2025 EMEA Stage 1_csvs
Ascent,GX,1,3 (1),1 (0),4 (2),15 (10),459848,VCT 2025 EMEA Stage 1_csvs
Ascent,FNC,1,3 (1),1 (0),5 (2),14 (7),459848,VCT 2025 EMEA Stage 1_csvs
Lotus,GX,2,2 (2),2 (0),8 (2),6 (1),459848,VCT 2025 EMEA Stage 1_csvs
Lotus,FNC,0,4 (0),0 (0),1 (1),13 (12),459848,VCT 2025 EMEA Stage 1_csvs
All Maps,GX,1,3 (1),1 (0),7 (3),12 (6),459848,VCT 2025 EMEA Stage 1_csvs
All Maps,FNC,1,3 (1),0 (0),5 (1),15 (11),459848,VCT 2025 EMEA Stage 1_csvs
Pearl,KC,1,3 (1),1 (0),5 (1),9 (3),459849,VCT 2025 EMEA Stage 1_csvs
Pearl,FUT,1,3 (1),1 (1),2 (2),12 (9),459849,VCT 2025 EMEA Stage 1_csvs
Lotus,KC,2,2 (2),0 (0),9 (3),13 (6),459849,VCT 2025 EMEA Stage 1_csvs
Lotus,FUT,0,4 (0),2 (0),0 (0),18 (13),459849,VCT 2025 EMEA Stage 1_csvs
All Maps,KC,0,4 (1),2 (2),0 (0),20 (11),459849,VCT 2025 EMEA Stage 1_csvs
All Maps,FUT,2,4 (2),2 (1),4 (2),16 (7),459849,VCT 2025 EMEA Stage 1_csvs
Haven,NAVI,0,4 (0),1 (0),4 (2),7 (1),459850,VCT 2025 EMEA Stage 1_csvs
Haven,TH,2,2 (2),0 (0),3 (3),11 (8),459850,VCT 2025 EMEA Stage 1_csvs
Pearl,NAVI,1,3 (1),1 (0),4 (1),13 (6),459850,VCT 2025 EMEA Stage 1_csvs
Pearl,TH,1,3 (1),1 (0),5 (4),12 (8),459850,VCT 2025 EMEA Stage 1_csvs
it,NAVI,1,7 (1),2 (0),8 (3),20 (7),459850,VCT 2025 EMEA Stage 1_csvs
it,TH,3,5 (3),1 (0),8 (7),23 (16),459850,VCT 2025 EMEA Stage 1_csvs
Ascent,BBL,1,3 (1),2 (1),5 (3),38 (20),459852,VCT 2025 EMEA Stage 1_csvs
Ascent,FUT,1,4 (1),1 (0),4 (2),39 (20),459852,VCT 2025 EMEA Stage 1_csvs
Icebox,BBL,1,3 (1),0 (0),5 (3),16 (9),459852,VCT 2025 EMEA Stage 1_csvs
Icebox,FUT,1,4 (1),2 (0),3 (2),15 (8),459852,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,2,6 (2),2 (1),10 (6),54 (29),459852,VCT 2025 EMEA Stage 1_csvs
All Maps,FUT,2,8 (2),3 (0),7 (4),54 (28),459852,VCT 2025 EMEA Stage 1_csvs
Lotus,GX,2,2 (2),1 (0),6 (3),11 (8),459853,VCT 2025 EMEA Stage 1_csvs
Lotus,APK,0,4 (0),1 (0),2 (1),13 (6),459853,VCT 2025 EMEA Stage 1_csvs
Ascent,GX,0,4 (2),1 (0),1 (0),16 (11),459853,VCT 2025 EMEA Stage 1_csvs
Ascent,APK,2,3 (2),3 (1),5 (1),11 (5),459853,VCT 2025 EMEA Stage 1_csvs
All Maps,GX,2,6 (4),2 (0),7 (3),27 (19),459853,VCT 2025 EMEA Stage 1_csvs
All Maps,APK,2,7 (2),4 (1),7 (2),24 (11),459853,VCT 2025 EMEA Stage 1_csvs
Split,M8,0,4 (0),1 (1),1 (1),18 (11),459854,VCT 2025 EMEA Stage 1_csvs
Split,MKOI,2,2 (2),2 (0),8 (5),12 (4),459854,VCT 2025 EMEA Stage 1_csvs
Icebox,M8,0,4 (0),3 (0),2 (2),10 (4),459854,VCT 2025 EMEA Stage 1_csvs
Icebox,MKOI,2,2 (2),0 (0),5 (3),12 (8),459854,VCT 2025 EMEA Stage 1_csvs
All Maps,M8,0,4 (0),2 (1),5 (1),11 (7),459854,VCT 2025 EMEA Stage 1_csvs
All Maps,MKOI,2,2 (2),2 (0),7 (4),11 (7),459854,VCT 2025 EMEA Stage 1_csvs
Haven,VIT,0,5 (0),1 (0),5 (1),7 (4),459855,VCT 2025 EMEA Stage 1_csvs
Haven,NAVI,2,3 (3),0 (0),6 (3),9 (7),459855,VCT 2025 EMEA Stage 1_csvs
Icebox,VIT,1,3 (1),0 (0),8 (3),13 (7),459855,VCT 2025 EMEA Stage 1_csvs
Icebox,NAVI,1,3 (1),0 (0),1 (1),20 (11),459855,VCT 2025 EMEA Stage 1_csvs
All Maps,VIT,1,8 (1),1 (0),13 (4),20 (11),459855,VCT 2025 EMEA Stage 1_csvs
All Maps,NAVI,3,6 (4),0 (0),7 (4),29 (18),459855,VCT 2025 EMEA Stage 1_csvs
Split,TL,0,4 (0),1 (0),3 (1),14 (8),459856,VCT 2025 EMEA Stage 1_csvs
Split,KC,2,2 (2),0 (0),8 (4),12 (7),459856,VCT 2025 EMEA Stage 1_csvs
Icebox,TL,1,3 (2),1 (0),4 (3),11 (8),459856,VCT 2025 EMEA Stage 1_csvs
Icebox,KC,1,3 (1),1 (1),9 (3),6 (1),459856,VCT 2025 EMEA Stage 1_csvs
All Maps,TL,1,7 (2),2 (0),7 (4),25 (16),459856,VCT 2025 EMEA Stage 1_csvs
All Maps,KC,3,5 (3),1 (1),17 (7),18 (8),459856,VCT 2025 EMEA Stage 1_csvs
Lotus,FNC,2,2 (2),2 (0),11 (2),3 (1),459857,VCT 2025 EMEA Stage 1_csvs
Lotus,TH,0,5 (1),0 (0),1 (0),12 (12),459857,VCT 2025 EMEA Stage 1_csvs
Haven,FNC,0,4 (1),1 (0),5 (1),13 (8),459857,VCT 2025 EMEA Stage 1_csvs
Haven,TH,2,2 (2),2 (0),5 (3),14 (8),459857,VCT 2025 EMEA Stage 1_csvs
All Maps,FNC,2,6 (3),3 (0),16 (3),16 (9),459857,VCT 2025 EMEA Stage 1_csvs
All Maps,TH,2,7 (3),2 (0),6 (3),26 (20),459857,VCT 2025 EMEA Stage 1_csvs
Lotus,BBL,0,3 (1),1 (0),0 (0),18 (12),482503,VCT 2025 EMEA Stage 1_csvs
Lotus,NAVI,2,2 (2),2 (0),8 (2),10 (5),482503,VCT 2025 EMEA Stage 1_csvs
Fracture,BBL,0,4 (0),0 (0),5 (5),14 (8),482503,VCT 2025 EMEA Stage 1_csvs
Fracture,NAVI,2,2 (2),2 (0),6 (3),13 (5),482503,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,0,7 (1),1 (0),5 (5),32 (20),482503,VCT 2025 EMEA Stage 1_csvs
All Maps,NAVI,4,4 (4),4 (0),14 (5),23 (10),482503,VCT 2025 EMEA Stage 1_csvs
Lotus,FNC,1,3 (1),0 (0),5 (5),13 (7),482504,VCT 2025 EMEA Stage 1_csvs
Lotus,FUT,1,4 (1),0 (0),5 (2),12 (5),482504,VCT 2025 EMEA Stage 1_csvs
Split,FNC,0,4 (1),0 (0),1 (1),14 (11),482504,VCT 2025 EMEA Stage 1_csvs
Split,FUT,2,4 (2),1 (0),5 (2),9 (2),482504,VCT 2025 EMEA Stage 1_csvs
All Maps,FNC,1,7 (2),0 (0),6 (6),27 (18),482504,VCT 2025 EMEA Stage 1_csvs
All Maps,FUT,3,8 (3),1 (0),10 (4),21 (7),482504,VCT 2025 EMEA Stage 1_csvs
Icebox,NAVI,1,4 (1),1 (0),1 (1),20 (10),482505,VCT 2025 EMEA Stage 1_csvs
Icebox,KC,1,3 (1),2 (0),5 (3),16 (10),482505,VCT 2025 EMEA Stage 1_csvs
Split,NAVI,1,3 (1),2 (0),4 (3),15 (9),482505,VCT 2025 EMEA Stage 1_csvs
Split,KC,1,3 (1),2 (1),8 (4),11 (5),482505,VCT 2025 EMEA Stage 1_csvs
All Maps,NAVI,2,2 (2),2 (0),5 (5),15 (6),482505,VCT 2025 EMEA Stage 1_csvs
All Maps,KC,0,4 (0),1 (1),3 (2),16 (8),482505,VCT 2025 EMEA Stage 1_csvs
Fracture,FUT,0,4 (0),0 (0),0 (0),15 (13),482506,VCT 2025 EMEA Stage 1_csvs
Fracture,VIT,2,2 (2),1 (0),8 (3),8 (1),482506,VCT 2025 EMEA Stage 1_csvs
Split,FUT,2,2 (2),0 (0),6 (3),12 (8),482506,VCT 2025 EMEA Stage 1_csvs
Split,VIT,0,4 (0),2 (0),4 (1),10 (6),482506,VCT 2025 EMEA Stage 1_csvs
All Maps,FUT,2,6 (2),0 (0),6 (3),27 (21),482506,VCT 2025 EMEA Stage 1_csvs
All Maps,VIT,2,6 (2),3 (0),12 (4),18 (7),482506,VCT 2025 EMEA Stage 1_csvs
Ascent,TH,1,5 (1),0 (0),6 (3),15 (10),482507,VCT 2025 EMEA Stage 1_csvs
Ascent,BBL,1,3 (1),2 (1),4 (1),17 (9),482507,VCT 2025 EMEA Stage 1_csvs
Icebox,TH,1,3 (1),1 (0),4 (3),15 (9),482507,VCT 2025 EMEA Stage 1_csvs
Icebox,BBL,1,3 (1),1 (0),7 (5),12 (4),482507,VCT 2025 EMEA Stage 1_csvs
All Maps,TH,2,8 (2),1 (0),10 (6),30 (19),482507,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,2,6 (2),3 (1),11 (6),29 (13),482507,VCT 2025 EMEA Stage 1_csvs
Split,TL,1,3 (2),1 (0),7 (4),12 (4),482508,VCT 2025 EMEA Stage 1_csvs
Split,FNC,1,3 (1),1 (0),3 (1),16 (11),482508,VCT 2025 EMEA Stage 1_csvs
Icebox,TL,1,3 (1),2 (0),3 (3),16 (9),482508,VCT 2025 EMEA Stage 1_csvs
Icebox,FNC,1,3 (1),0 (0),6 (2),15 (8),482508,VCT 2025 EMEA Stage 1_csvs
All Maps,TL,0,4 (0),0 (0),4 (2),18 (10),482508,VCT 2025 EMEA Stage 1_csvs
All Maps,FNC,2,2 (2),0 (0),11 (6),13 (6),482508,VCT 2025 EMEA Stage 1_csvs
Haven,BBL,1,3 (1),2 (0),3 (1),15 (11),482510,VCT 2025 EMEA Stage 1_csvs
Haven,FUT,1,4 (1),0 (0),4 (2),15 (7),482510,VCT 2025 EMEA Stage 1_csvs
Split,BBL,2,2 (2),0 (0),4 (3),9 (8),482510,VCT 2025 EMEA Stage 1_csvs
Split,FUT,0,4 (0),2 (0),0 (0),9 (2),482510,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,4,9 (4),2 (0),14 (7),39 (27),482510,VCT 2025 EMEA Stage 1_csvs
All Maps,FUT,2,13 (4),5 (1),6 (3),40 (18),482510,VCT 2025 EMEA Stage 1_csvs
Icebox,TL,1,2 (1),2 (0),7 (5),13 (5),482509,VCT 2025 EMEA Stage 1_csvs
Icebox,NAVI,1,2 (1),1 (0),6 (4),15 (8),482509,VCT 2025 EMEA Stage 1_csvs
Split,TL,2,2 (2),1 (1),4 (2),10 (8),482509,VCT 2025 EMEA Stage 1_csvs
Split,NAVI,0,3 (0),1 (0),7 (1),6 (3),482509,VCT 2025 EMEA Stage 1_csvs
All Maps,TL,2,2 (2),1 (0),6 (3),12 (8),482509,VCT 2025 EMEA Stage 1_csvs
All Maps,NAVI,0,4 (1),2 (0),6 (2),9 (5),482509,VCT 2025 EMEA Stage 1_csvs
Fracture,TH,0,4 (1),1 (1),4 (0),10 (4),482515,VCT 2025 EMEA Stage 1_csvs
Fracture,FNC,2,2 (2),1 (0),6 (5),10 (6),482515,VCT 2025 EMEA Stage 1_csvs
Icebox,TH,1,3 (2),2 (0),6 (3),10 (3),482515,VCT 2025 EMEA Stage 1_csvs
Icebox,FNC,1,3 (1),1 (1),2 (1),15 (10),482515,VCT 2025 EMEA Stage 1_csvs
that,TH,1,7 (3),3 (1),10 (3),20 (7),482515,VCT 2025 EMEA Stage 1_csvs
that,FNC,3,5 (3),2 (1),8 (6),25 (16),482515,VCT 2025 EMEA Stage 1_csvs
Haven,TL,2,2 (2),2 (1),7 (2),13 (8),482511,VCT 2025 EMEA Stage 1_csvs
Haven,BBL,0,4 (0),2 (1),3 (1),15 (9),482511,VCT 2025 EMEA Stage 1_csvs
Split,TL,0,4 (0),1 (0),6 (2),9 (5),482511,VCT 2025 EMEA Stage 1_csvs
Split,BBL,2,3 (2),1 (0),4 (2),12 (9),482511,VCT 2025 EMEA Stage 1_csvs
All Maps,TL,1,3 (1),1 (0),2 (2),15 (10),482511,VCT 2025 EMEA Stage 1_csvs
All Maps,BBL,1,4 (1),2 (0),4 (2),11 (5),482511,VCT 2025 EMEA Stage 1_csvs
Haven,TH,2,2 (2),1 (1),3 (2),10 (8),482512,VCT 2025 EMEA Stage 1_csvs
Haven,TL,0,3 (0),2 (0),8 (1),3 (2),482512,VCT 2025 EMEA Stage 1_csvs
Ascent,TH,1,3 (1),2 (1),2 (1),16 (10),482512,VCT 2025 EMEA Stage 1_csvs
Ascent,TL,1,4 (1),1 (0),6 (4),12 (5),482512,VCT 2025 EMEA Stage 1_csvs
Icebox,TH,2,2 (2),0 (0),3 (3),10 (8),482512,VCT 2025 EMEA Stage 1_csvs
Icebox,TL,0,3 (0),1 (0),6 (0),5 (2),482512,VCT 2025 EMEA Stage 1_csvs
Lotus,TH,5,7 (5),3 (2),8 (6),36 (26),482512,VCT 2025 EMEA Stage 1_csvs
Lotus,TL,1,10 (1),4 (0),20 (5),20 (9),482512,VCT 2025 EMEA Stage 1_csvs
Split,FNC,2,2 (2),0 (0),4 (3),11 (8),482513,VCT 2025 EMEA Stage 1_csvs
Split,TH,0,4 (0),0 (0),5 (1),8 (3),482513,VCT 2025 EMEA Stage 1_csvs
Icebox,FNC,1,3 (1),1 (1),2 (1),16 (10),482513,VCT 2025 EMEA Stage 1_csvs
Icebox,TH,1,3 (1),1 (0),4 (2),14 (6),482513,VCT 2025 EMEA Stage 1_csvs
Fracture,FNC,0,4 (0),1 (0),6 (3),15 (11),482513,VCT 2025 EMEA Stage 1_csvs
Fracture,TH,2,2 (2),2 (1),6 (4),16 (5),482513,VCT 2025 EMEA Stage 1_csvs
Lotus,FNC,3,9 (3),2 (1),12 (7),42 (29),482513,VCT 2025 EMEA Stage 1_csvs
Lotus,TH,3,9 (3),3 (1),15 (7),38 (14),482513,VCT 2025 EMEA Stage 1_csvs
Icebox,NAVI,1,3 (1),1 (1),2 (1),11 (10),511543,VCT 2025 EMEA Stage 2_csvs
Icebox,APK,1,3 (1),2 (0),8 (2),4 (1),511543,VCT 2025 EMEA Stage 2_csvs
Sunset,NAVI,0,4 (0),1 (0),3 (1),11 (5),511543,VCT 2025 EMEA Stage 2_csvs
Sunset,APK,2,2 (2),1 (1),6 (5),10 (5),511543,VCT 2025 EMEA Stage 2_csvs
All Maps,NAVI,2,2 (2),0 (0),3 (3),11 (8),511543,VCT 2025 EMEA Stage 2_csvs
All Maps,APK,0,4 (0),2 (0),6 (2),4 (1),511543,VCT 2025 EMEA Stage 2_csvs
Sunset,VIT,2,2 (2),2 (0),6 (5),13 (3),511544,VCT 2025 EMEA Stage 2_csvs
Sunset,GX,0,4 (0),1 (1),1 (1),17 (11),511544,VCT 2025 EMEA Stage 2_csvs
Bind,VIT,1,3 (1),1 (0),4 (2),16 (8),511544,VCT 2025 EMEA Stage 2_csvs
Bind,GX,1,3 (1),1 (1),10 (5),10 (6),511544,VCT 2025 EMEA Stage 2_csvs
All Maps,VIT,3,5 (3),3 (0),10 (7),29 (11),511544,VCT 2025 EMEA Stage 2_csvs
All Maps,GX,1,7 (1),2 (2),11 (6),27 (17),511544,VCT 2025 EMEA Stage 2_csvs
Bind,FUT,0,4 (0),3 (1),1 (1),12 (5),511545,VCT 2025 EMEA Stage 2_csvs
Bind,M8,2,2 (2),1 (0),5 (3),12 (8),511545,VCT 2025 EMEA Stage 2_csvs
Sunset,FUT,2,2 (2),1 (0),5 (3),10 (8),511545,VCT 2025 EMEA Stage 2_csvs
Sunset,M8,0,3 (0),2 (0),4 (0),9 (5),511545,VCT 2025 EMEA Stage 2_csvs
All Maps,FUT,1,5 (1),1 (0),5 (2),19 (13),511545,VCT 2025 EMEA Stage 2_csvs
All Maps,M8,1,4 (2),0 (0),3 (1),23 (11),511545,VCT 2025 EMEA Stage 2_csvs
Bind,TL,2,2 (2),0 (0),4 (3),11 (8),511546,VCT 2025 EMEA Stage 2_csvs
Bind,MKOI,0,5 (1),2 (0),4 (0),6 (3),511546,VCT 2025 EMEA Stage 2_csvs
Icebox,TL,2,3 (2),2 (0),9 (5),9 (3),511546,VCT 2025 EMEA Stage 2_csvs
Icebox,MKOI,0,4 (0),1 (1),2 (2),16 (10),511546,VCT 2025 EMEA Stage 2_csvs
All Maps,TL,0,4 (0),1 (0),3 (3),13 (10),511546,VCT 2025 EMEA Stage 2_csvs
All Maps,MKOI,2,3 (2),0 (0),10 (4),8 (2),511546,VCT 2025 EMEA Stage 2_csvs
Icebox,TH,1,3 (1),1 (0),6 (2),8 (2),511547,VCT 2025 EMEA Stage 2_csvs
Icebox,BBL,1,3 (1),1 (0),3 (2),11 (10),511547,VCT 2025 EMEA Stage 2_csvs
Haven,TH,1,3 (1),3 (2),4 (2),12 (8),511547,VCT 2025 EMEA Stage 2_csvs
Haven,BBL,1,3 (1),2 (0),7 (4),10 (4),511547,VCT 2025 EMEA Stage 2_csvs
All Maps,TH,2,2 (2),1 (0),7 (5),14 (6),511547,VCT 2025 EMEA Stage 2_csvs
All Maps,BBL,0,4 (0),1 (1),6 (3),13 (7),511547,VCT 2025 EMEA Stage 2_csvs
Bind,FNC,1,3 (1),0 (0),2 (2),15 (10),511548,VCT 2025 EMEA Stage 2_csvs
Bind,KC,1,3 (1),3 (1),6 (3),8 (2),511548,VCT 2025 EMEA Stage 2_csvs
Lotus,FNC,1,3 (2),2 (1),9 (4),9 (3),511548,VCT 2025 EMEA Stage 2_csvs
Lotus,KC,1,3 (2),1 (0),3 (2),16 (9),511548,VCT 2025 EMEA Stage 2_csvs
