map,Team,Pistol Won,Eco (won),Semi-eco (won),Semi-buy (won),Full buy(won),match_id,tournament_name
Haven,EG,0,4 (0),2 (0),6 (3),8 (4),459525,VCT 2025 Americas Stage 1_csvs
All Maps,100T,2,6 (3),3 (2),6 (3),28 (18),459525,VCT 2025 Americas Stage 1_csvs
All Maps,EG,2,6 (2),4 (1),16 (7),17 (7),459525,VCT 2025 Americas Stage 1_csvs
Pearl,G2,1,3 (1),1 (1),5 (3),17 (7),459526,VCT 2025 Americas Stage 1_csvs
Pearl,MIBR,1,3 (1),1 (0),9 (5),13 (8),459526,VCT 2025 Americas Stage 1_csvs
Haven,G2,1,2 (1),1 (0),9 (5),12 (7),459526,VCT 2025 Americas Stage 1_csvs
Haven,MIBR,1,3 (1),1 (0),5 (3),15 (7),459526,VCT 2025 Americas Stage 1_csvs
All Maps,G2,2,2 (2),1 (0),8 (5),10 (6),459526,VCT 2025 Americas Stage 1_csvs
All Maps,MIBR,0,3 (0),2 (1),5 (0),11 (7),459526,VCT 2025 Americas Stage 1_csvs
Lotus,LOUD,1,3 (1),1 (0),5 (4),17 (7),459527,VCT 2025 Americas Stage 1_csvs
Lotus,2G,1,3 (1),1 (0),3 (1),19 (12),459527,VCT 2025 Americas Stage 1_csvs
Pearl,LOUD,0,4 (0),2 (1),2 (1),16 (9),459527,VCT 2025 Americas Stage 1_csvs
Pearl,2G,2,2 (2),6 (1),3 (3),13 (7),459527,VCT 2025 Americas Stage 1_csvs
All Maps,LOUD,1,7 (1),3 (1),7 (5),33 (16),459527,VCT 2025 Americas Stage 1_csvs
All Maps,2G,3,5 (3),7 (1),6 (4),32 (19),459527,VCT 2025 Americas Stage 1_csvs
Split,LEV,1,3 (1),3 (0),5 (3),10 (4),459528,VCT 2025 Americas Stage 1_csvs
Split,C9,1,3 (1),0 (0),4 (3),14 (9),459528,VCT 2025 Americas Stage 1_csvs
Ascent,LEV,0,3 (0),4 (1),3 (1),6 (1),459528,VCT 2025 Americas Stage 1_csvs
Ascent,C9,2,3 (2),0 (0),3 (2),10 (9),459528,VCT 2025 Americas Stage 1_csvs
All Maps,LEV,1,6 (1),7 (1),8 (4),16 (5),459528,VCT 2025 Americas Stage 1_csvs
All Maps,C9,3,6 (3),0 (0),7 (5),24 (18),459528,VCT 2025 Americas Stage 1_csvs
Haven,EG,1,3 (1),2 (1),6 (1),6 (1),459529,VCT 2025 Americas Stage 1_csvs
Haven,SEN,1,3 (1),0 (0),1 (1),13 (11),459529,VCT 2025 Americas Stage 1_csvs
Pearl,EG,0,5 (0),1 (0),6 (3),7 (3),459529,VCT 2025 Americas Stage 1_csvs
Pearl,SEN,2,2 (2),0 (0),8 (5),9 (6),459529,VCT 2025 Americas Stage 1_csvs
All Maps,EG,1,8 (1),3 (1),12 (4),13 (4),459529,VCT 2025 Americas Stage 1_csvs
All Maps,SEN,3,5 (3),0 (0),9 (6),22 (17),459529,VCT 2025 Americas Stage 1_csvs
Haven,100T,0,4 (0),0 (0),6 (4),9 (2),459530,VCT 2025 Americas Stage 1_csvs
Haven,LOUD,2,2 (2),0 (0),4 (4),13 (7),459530,VCT 2025 Americas Stage 1_csvs
Icebox,100T,2,3 (2),3 (1),3 (1),15 (9),459530,VCT 2025 Americas Stage 1_csvs
Icebox,LOUD,0,4 (1),1 (0),5 (0),14 (10),459530,VCT 2025 Americas Stage 1_csvs
All Maps,100T,0,4 (0),1 (0),1 (1),15 (12),459530,VCT 2025 Americas Stage 1_csvs
All Maps,LOUD,2,2 (2),1 (0),10 (3),8 (3),459530,VCT 2025 Americas Stage 1_csvs
Icebox,2G,1,3 (1),2 (0),5 (2),9 (3),459531,VCT 2025 Americas Stage 1_csvs
Icebox,KRÜ,1,3 (1),1 (1),1 (1),14 (10),459531,VCT 2025 Americas Stage 1_csvs
Ascent,2G,2,2 (2),0 (0),4 (3),13 (8),459531,VCT 2025 Americas Stage 1_csvs
Ascent,KRÜ,0,4 (0),0 (0),5 (1),10 (5),459531,VCT 2025 Americas Stage 1_csvs
All Maps,2G,1,3 (1),2 (0),5 (2),9 (3),459531,VCT 2025 Americas Stage 1_csvs
All Maps,KRÜ,1,3 (1),1 (0),4 (3),11 (9),459531,VCT 2025 Americas Stage 1_csvs
Lotus,G2,2,2 (2),0 (0),3 (3),9 (8),459532,VCT 2025 Americas Stage 1_csvs
Lotus,NRG,0,3 (0),2 (0),3 (0),6 (1),459532,VCT 2025 Americas Stage 1_csvs
Ascent,G2,1,2 (1),2 (0),6 (5),9 (7),459532,VCT 2025 Americas Stage 1_csvs
Ascent,NRG,1,3 (1),3 (0),5 (2),8 (3),459532,VCT 2025 Americas Stage 1_csvs
All Maps,G2,3,4 (3),2 (0),9 (8),18 (15),459532,VCT 2025 Americas Stage 1_csvs
All Maps,NRG,1,6 (1),5 (0),8 (2),14 (4),459532,VCT 2025 Americas Stage 1_csvs
Ascent,FUR,0,4 (0),1 (0),2 (1),10 (3),459533,VCT 2025 Americas Stage 1_csvs
Ascent,LEV,2,3 (2),0 (0),5 (5),9 (6),459533,VCT 2025 Americas Stage 1_csvs
Pearl,FUR,0,5 (0),0 (0),11 (3),2 (2),459533,VCT 2025 Americas Stage 1_csvs
Pearl,LEV,2,2 (2),1 (1),5 (4),10 (6),459533,VCT 2025 Americas Stage 1_csvs
All Maps,FUR,0,9 (0),1 (0),13 (4),12 (5),459533,VCT 2025 Americas Stage 1_csvs
All Maps,LEV,4,5 (4),1 (1),10 (9),19 (12),459533,VCT 2025 Americas Stage 1_csvs
Pearl,C9,1,3 (1),1 (0),2 (2),16 (10),459534,VCT 2025 Americas Stage 1_csvs
Pearl,MIBR,1,3 (1),2 (1),7 (3),10 (4),459534,VCT 2025 Americas Stage 1_csvs
Lotus,C9,1,3 (1),0 (0),8 (4),17 (8),459534,VCT 2025 Americas Stage 1_csvs
Lotus,MIBR,1,3 (1),0 (0),10 (4),15 (10),459534,VCT 2025 Americas Stage 1_csvs
All Maps,C9,1,2 (1),1 (0),7 (2),14 (8),459534,VCT 2025 Americas Stage 1_csvs
All Maps,MIBR,1,2 (1),2 (0),9 (5),11 (7),459534,VCT 2025 Americas Stage 1_csvs
Ascent,100T,1,4 (1),4 (2),3 (0),17 (12),459535,VCT 2025 Americas Stage 1_csvs
Ascent,2G,1,3 (2),2 (0),3 (2),20 (9),459535,VCT 2025 Americas Stage 1_csvs
Icebox,100T,0,4 (1),1 (1),0 (0),14 (11),459535,VCT 2025 Americas Stage 1_csvs
Icebox,2G,2,2 (2),3 (0),6 (3),8 (1),459535,VCT 2025 Americas Stage 1_csvs
All Maps,100T,1,8 (2),5 (3),3 (0),31 (23),459535,VCT 2025 Americas Stage 1_csvs
