player,player_name,team,player_id,agents,agents_count,rounds,rating,acs,kd_ratio,kast,adr,kpr,apr,fkpr,fdpr,hs_percent,cl_percent,clutches,k_max,kills,deaths,assists,first_kills,first_deaths
KovaQ,KovaQ,VIT,7987,"['Breach', 'Brimstone', 'Iso', 'Vyse', 'Kayo', 'Killjoy', 'Skye', 'Fade']",8,255,0.92,198.6,0.97,70%,123.8,0.71,0.25,0.12,0.11,33%,12%,3/26,23,182,187,64,30,28
OLIZERA,OLIZERA,APK,8502,"['Killjoy', 'Viper', 'Vyse', 'Cypher']",4,290,0.92,194.5,0.93,69%,127.1,0.69,0.21,0.1,0.09,28%,11%,5/47,23,199,215,60,29,26
Boo,Boo,TH,1144,"['Viper', 'Omen', 'Brimstone']",3,334,0.89,153.9,0.81,72%,99.3,0.52,0.43,0.07,0.06,30%,19%,10/53,16,174,216,144,22,21
xeus,xeus,FUT,12793,"['Raze', 'Neon', 'Jett']",3,247,0.89,210.3,0.91,68%,132.0,0.73,0.21,0.14,0.18,29%,0%,0/11,24,180,197,53,35,44
Kicks,Kicks,VIT,11134,"['Omen', 'Skye', 'Harbor', 'Brimstone']",4,299,0.89,166.3,0.79,72%,109.7,0.56,0.44,0.07,0.06,29%,18%,7/38,23,168,214,132,20,19
UNFAKE,UNFAKE,VIT,4521,"['Sova', 'Gekko', 'Fade']",3,299,0.89,186.1,0.89,70%,120.6,0.65,0.26,0.07,0.08,38%,17%,5/30,21,193,218,78,22,24
flyuh,flyuh,MKOI,3685,"['Fade', 'Sova', 'Kayo', 'Breach']",4,287,0.88,185.9,0.85,69%,127.6,0.65,0.28,0.06,0.07,26%,16%,5/32,23,187,219,80,18,19
MrFaliN,MrFaliN,FUT,8044,"['Fade', 'Omen', 'Sova']",3,247,0.88,168.6,0.77,64%,111.4,0.57,0.37,0.07,0.09,24%,14%,5/35,25,141,182,92,18,21
batujnax,batujnax,APK,18615,"['Omen', 'Deadlock', 'Sova', 'Yoru', 'Fade']",5,290,0.86,178.5,0.82,69%,117.7,0.62,0.26,0.09,0.14,28%,0%,0/21,25,181,220,74,26,41
Filu,Filu,MKOI,4544,"['Raze', 'Sage', 'Waylay', 'Yoru', 'Neon', 'Chamber', 'Jett', 'Gekko']",8,287,0.85,199.7,0.84,66%,131.7,0.66,0.22,0.16,0.14,27%,4%,1/23,20,190,227,64,45,39
Proxh,Proxh,M8,45494,"['Astra', 'Omen']",2,306,0.85,161.7,0.78,72%,107.0,0.56,0.39,0.05,0.08,25%,10%,3/30,18,171,218,119,16,24
nataNk,nataNk,MKOI,5004,"['Gekko', 'Killjoy', 'Vyse', 'Sova', 'Iso', 'Yoru', 'Sage', 'Raze']",8,287,0.85,172.5,0.83,66%,117.4,0.61,0.22,0.11,0.16,27%,14%,5/37,22,174,210,63,32,45
saadhak,saadhak,KC,727,"['Deadlock', 'Fade', 'Kayo', 'Sova', 'Cypher']",5,389,0.84,164.1,0.76,67%,109.9,0.54,0.36,0.07,0.11,30%,20%,8/41,21,212,278,140,27,41
AvovA,AvovA,APK,1507,"['Viper', 'Omen', 'Brimstone']",3,290,0.83,146.7,0.73,66%,97.7,0.53,0.34,0.05,0.06,31%,16%,7/45,16,153,211,98,15,18
pyrolll,pyrolll,KC,8808,"['Fade', 'Vyse', 'Sova']",3,153,0.82,146.8,0.77,62%,100.6,0.52,0.18,0.04,0.07,36%,11%,2/18,22,80,104,28,6,11
Boaster,Boaster,FNC,438,"['Astra', 'Omen', 'Viper']",3,448,0.79,141.8,0.74,66%,94.3,0.5,0.31,0.05,0.11,30%,21%,9/43,19,222,298,137,21,48
ANGE1,ANGE1,NAVI,109,"['Sova', 'Kayo', 'Breach', 'Gekko']",4,472,0.77,155.7,0.73,69%,104.8,0.53,0.37,0.06,0.09,31%,11%,5/47,21,249,342,175,26,43
